Restaurant Name,Url,Rating,Votes,Address,Source,Zip,check,new_zip
El Malecon Restaurant,http://www.tripadvisor.in/Restaurant_Review-g34438-d3397231-Reviews-El_Malecon_Restaurant-Miami_Florida.html,"1,593 of 3,600",6,"5791 SW 137th avenue, Miami, FL",TripAdvisor,"i, FL",FALSE,
Met Cafe and Bar,http://www.tripadvisor.in/Restaurant_Review-g34438-d4178105-Reviews-Met_Cafe_and_Bar-Miami_Florida.html,"778 of 3,600",10,"255 Biscayne Boulevard Way, Hotel Beaux Arts Miami, Miami, FL 33131",TripAdvisor,33131,TRUE,33131
Pollo Tropical,http://www.tripadvisor.in/Restaurant_Review-g34438-d4181598-Reviews-Pollo_Tropical-Miami_Florida.html,,,"8700 SW 40th St, Miami, FL 33165",TripAdvisor,33165,TRUE,33165
Oriental Bakery & Grocery Co,http://www.tripadvisor.in/Restaurant_Review-g34438-d935499-Reviews-Oriental_Bakery_Grocery_Co-Miami_Florida.html,"990 of 3,600",3,"1760 SW 3rd Ave, Miami, FL 33129-1415",TripAdvisor,-1415,FALSE,33129
El Nopal,http://www.tripadvisor.in/Restaurant_Review-g34438-d4207564-Reviews-El_Nopal-Miami_Florida.html,,,"22605 S Dixie Hwy, Miami, FL 33170",TripAdvisor,33170,TRUE,33170
Iguana Ranas Mexican Grill,http://www.tripadvisor.in/Restaurant_Review-g34438-d1724575-Reviews-Iguana_Ranas_Mexican_Grill-Miami_Florida.html,"849 of 3,600",3,"13816 SW 56th St, Miami, FL 33175-6061",TripAdvisor,-6061,FALSE,33175
Pasha's,http://www.tripadvisor.in/Restaurant_Review-g34438-d4182345-Reviews-Pasha_s-Miami_Florida.html,"945 of 3,600",1,"1120 NW 14th St, Miami, FL 33136",TripAdvisor,33136,TRUE,33136
Subway,http://www.tripadvisor.in/Restaurant_Review-g34438-d4199800-Reviews-Subway-Miami_Florida.html,,,"8352 Mills Dr, Miami, FL 33183",TripAdvisor,33183,TRUE,33183
Bottega Express,http://www.tripadvisor.in/Restaurant_Review-g34438-d3318707-Reviews-Bottega_Express-Miami_Florida.html,,,"111 NW 1st St, Miami, FL 33128",TripAdvisor,33128,TRUE,33128
Holy Bagels and Pizzeria of Downtown,http://www.tripadvisor.in/Restaurant_Review-g34438-d5064343-Reviews-Holy_Bagels_and_Pizzeria_of_Downtown-Miami_Florida.html,,,"93 NW 1st St, Miami, FL 33128-1814",TripAdvisor,-1814,FALSE,33128
Quality Asian Bazaar & Restaurant,http://www.tripadvisor.in/Restaurant_Review-g34438-d4203011-Reviews-Quality_Asian_Bazaar_Restaurant-Miami_Florida.html,,,"319 NE 167th St, Miami, FL 33162",TripAdvisor,33162,TRUE,33162
El Rincon Bequisqueya,http://www.tripadvisor.in/Restaurant_Review-g34438-d4206091-Reviews-El_Rincon_Bequisqueya-Miami_Florida.html,,,"1396 NW 36th St, Miami, FL 33142-5556",TripAdvisor,-5556,FALSE,33142
