category,name,price,rating,review_count,url,zip
Cuban,Versailles Restaurant,$$,4.0,3324,https://www.yelp.com/biz/versailles-restaurant-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33135
Hot Dogs,Sweet Dogs,$,4.5,609,https://www.yelp.com/biz/sweet-dogs-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33134
Burgers,Kush,$$,4.5,1739,https://www.yelp.com/biz/kush-miami-2?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33127
Latin American,CVI.CHE 105,$$,4.0,1936,https://www.yelp.com/biz/cvi-che-105-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33132
Italian,CRUST,$$,4.5,566,https://www.yelp.com/biz/crust-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33128
American (New),WHISK Gourmet Food & Catering,$$,4.5,980,https://www.yelp.com/biz/whisk-gourmet-food-and-catering-miami-2?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33143
Tapas Bars,SUGARCANE Raw Bar Grill,$$$,4.0,1708,https://www.yelp.com/biz/sugarcane-raw-bar-grill-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33137
Indian,Bombay Darbar,$$,4.5,641,https://www.yelp.com/biz/bombay-darbar-miami-3?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33133
Italian,Fratelli Milano,$$,4.5,928,https://www.yelp.com/biz/fratelli-milano-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33131
Specialty Food,Perricone's Marketplace & Cafe,$$,4.0,1195,https://www.yelp.com/biz/perricones-marketplace-and-cafe-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33131
Gastropubs,Lokal,$$,4.0,950,https://www.yelp.com/biz/lokal-miami-3?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33133
American (New),Michael's Genuine Food & Drink,$$$,4.0,1505,https://www.yelp.com/biz/michaels-genuine-food-and-drink-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33137
American (Traditional),Blue Collar,$$,4.0,1140,https://www.yelp.com/biz/blue-collar-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33138
Seafood,Truluck's,$$$,4.5,781,https://www.yelp.com/biz/trulucks-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33131
Venezuelan,Cardon Y El Tirano,$$,4.5,333,https://www.yelp.com/biz/cardon-y-el-tirano-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33135
Cuban,Tinta y Café,$,4.5,521,https://www.yelp.com/biz/tinta-y-caf%C3%A9-miami-2?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33134
Mexican,Tacos & Tattoos,$$,4.0,1049,https://www.yelp.com/biz/tacos-and-tattoos-miami-2?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33176
Japanese,Zuma,$$$$,4.0,1037,https://www.yelp.com/biz/zuma-miami-2?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33131
Breakfast & Brunch,Greenstreet Cafe,$$,4.0,1099,https://www.yelp.com/biz/greenstreet-cafe-miami-3?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33133
Italian,Osteria Vecchio Piemonte,$$,4.5,409,https://www.yelp.com/biz/osteria-vecchio-piemonte-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33173
Coffee & Tea,specialTEA Lounge,$,4.5,595,https://www.yelp.com/biz/specialtea-lounge-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33165
Asian Fusion,KYU,$$$,4.5,670,https://www.yelp.com/biz/kyu-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33127
Music Venues,Lagniappe,$$,4.5,661,https://www.yelp.com/biz/lagniappe-miami-3?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33137
American (New),Doce Provisions,$$,4.5,406,https://www.yelp.com/biz/doce-provisions-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33130
Cocktail Bars,Beaker & Gray,$$,4.5,794,https://www.yelp.com/biz/beaker-and-gray-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33127
Desserts,Fireman Derek's Bake Shop & Cafe,$,4.5,521,https://www.yelp.com/biz/fireman-dereks-bake-shop-and-cafe-miami-3?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33127
Tapas/Small Plates,Lung Yai Thai Tapas,$$,4.0,805,https://www.yelp.com/biz/lung-yai-thai-tapas-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33135
Venezuelan,Doggi's Arepa Bar,$$,4.0,880,https://www.yelp.com/biz/doggis-arepa-bar-miami-4?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33145
Mediterranean,Mandolin Aegean Bistro,$$,4.0,953,https://www.yelp.com/biz/mandolin-aegean-bistro-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33137
Juice Bars & Smoothies,Roots Juicebar,$$,4.5,398,https://www.yelp.com/biz/roots-juicebar-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33183
Italian,Fratellino,$$,5.0,538,https://www.yelp.com/biz/fratellino-coral-gables-2?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33134
Seafood,The Spillover,$$,4.5,495,https://www.yelp.com/biz/the-spillover-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33133
Italian,Red Carpet Italian,$$,5.0,212,https://www.yelp.com/biz/red-carpet-italian-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33135
Steakhouses,Toro Toro Restaurant,$$$,4.0,746,https://www.yelp.com/biz/toro-toro-restaurant-miami-6?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33131
