restau_name,reviews,zip
Versailles Restaurant,I absolutely love their empanadas de espinacas (spinach empanadas) they are very delicious. I had so many of them. Their Cuban food is also incredibly...,33135
Versailles Restaurant,"I had heard from a few UBER drivers that this was the go-to restaurant in Miami and was a must try. My experience here definitely did not disappoint,...",33135
Versailles Restaurant,"Love the brunch
Every Sunday until 11:00am
Cheap/good/fresh! Oh, and it includes café con leche and Cuban toast.",33135
Sweet Dogs,"Alright to keep simple.
1.) Good Food
2.) They offer amazing popcorn 
3.) Buy the popcorn
The place has great scenery and the people who work there know how...",33134
Sweet Dogs,"Super friendly staff. It's in the most random plaza on 8th street.
The hot dog menu is based on sports teams;
I had the ""The Dolphins Hot dog"" which has...",33134
Sweet Dogs,"Best Hot Dogs in city.:)))
I love their hot dogs!
Service was very good, friendly staff)))
Very big selections of toppings on hot dog.",33134
Kush,"ok, ok I believe the hype now! 

Went to Kush last night after the HEAT game for a late night bite. We waited about 20 minutes for a table outside, which...",33127
Kush,"Great burgers! Highly recommend coming early before the dinner rushes.

Parking
There's a lot right across the street by the railroad. There weren't any...",33127
Kush,Great burger! I choose the Frita burger which was recommended by a bunch of people. The guava on it definitely added a touch of sweetness to it. The beer...,33127
CVI.CHE 105,"My favorite ceviche spot, hands down. I've been here tons of times and I've always had delicious meals, great drinks, and 5 star service. 
I've had their...",33132
CVI.CHE 105,My wife and I went here following the Mercedes Benz Corporate Run to have dinner and kill a few hours until the traffic subsided.  I've been here a few...,33132
CVI.CHE 105,"I was in Miami (Brickell) for 2 weeks for work and I went to this place 4 times.  I couldn't help it, the food here was just really good.

My go-to's were...",33132
CRUST,"It's been almost three years since I first started came to a new hidden away Italian restaurant by the Miami River. That first dinner was a formal sit down,...",33128
CRUST,"Best service in all Miami, personally my favorite restaurant.

TOP Dishes:
Seafood Risotto and Lasagna.

Just awesome!",33128
CRUST,"My family and I love Crust. This is our go-to pizza/Italian restaurant in the downtown area. This family owned eatery is friendly, delicious, and have...",33128
