,Restaurant Name,Url,Rating,Votes,Address,Source,Zip,check,new_zip
100,El Malecon Restaurant,http://www.tripadvisor.in/Restaurant_Review-g34438-d3397231-Reviews-El_Malecon_Restaurant-Miami_Florida.html,"1,593 of 3,600",6.0,"5791 SW 137th avenue, Miami, FL",TripAdvisor,"i, FL",False,
101,Met Cafe and Bar,http://www.tripadvisor.in/Restaurant_Review-g34438-d4178105-Reviews-Met_Cafe_and_Bar-Miami_Florida.html,"778 of 3,600",10.0,"255 Biscayne Boulevard Way, Hotel Beaux Arts Miami, Miami, FL 33131",TripAdvisor,33131,True,33131
102,Pollo Tropical,http://www.tripadvisor.in/Restaurant_Review-g34438-d4181598-Reviews-Pollo_Tropical-Miami_Florida.html,,,"8700 SW 40th St, Miami, FL 33165",TripAdvisor,33165,True,33165
103,Oriental Bakery & Grocery Co,http://www.tripadvisor.in/Restaurant_Review-g34438-d935499-Reviews-Oriental_Bakery_Grocery_Co-Miami_Florida.html,"990 of 3,600",3.0,"1760 SW 3rd Ave, Miami, FL 33129-1415",TripAdvisor,-1415,False,33129
104,El Nopal,http://www.tripadvisor.in/Restaurant_Review-g34438-d4207564-Reviews-El_Nopal-Miami_Florida.html,,,"22605 S Dixie Hwy, Miami, FL 33170",TripAdvisor,33170,True,33170
105,Iguana Ranas Mexican Grill,http://www.tripadvisor.in/Restaurant_Review-g34438-d1724575-Reviews-Iguana_Ranas_Mexican_Grill-Miami_Florida.html,"849 of 3,600",3.0,"13816 SW 56th St, Miami, FL 33175-6061",TripAdvisor,-6061,False,33175
106,Pasha's,http://www.tripadvisor.in/Restaurant_Review-g34438-d4182345-Reviews-Pasha_s-Miami_Florida.html,"945 of 3,600",1.0,"1120 NW 14th St, Miami, FL 33136",TripAdvisor,33136,True,33136
107,Subway,http://www.tripadvisor.in/Restaurant_Review-g34438-d4199800-Reviews-Subway-Miami_Florida.html,,,"8352 Mills Dr, Miami, FL 33183",TripAdvisor,33183,True,33183
108,Bottega Express,http://www.tripadvisor.in/Restaurant_Review-g34438-d3318707-Reviews-Bottega_Express-Miami_Florida.html,,,"111 NW 1st St, Miami, FL 33128",TripAdvisor,33128,True,33128
109,Holy Bagels and Pizzeria of Downtown,http://www.tripadvisor.in/Restaurant_Review-g34438-d5064343-Reviews-Holy_Bagels_and_Pizzeria_of_Downtown-Miami_Florida.html,,,"93 NW 1st St, Miami, FL 33128-1814",TripAdvisor,-1814,False,33128
110,Quality Asian Bazaar & Restaurant,http://www.tripadvisor.in/Restaurant_Review-g34438-d4203011-Reviews-Quality_Asian_Bazaar_Restaurant-Miami_Florida.html,,,"319 NE 167th St, Miami, FL 33162",TripAdvisor,33162,True,33162
111,El Rincon Bequisqueya,http://www.tripadvisor.in/Restaurant_Review-g34438-d4206091-Reviews-El_Rincon_Bequisqueya-Miami_Florida.html,,,"1396 NW 36th St, Miami, FL 33142-5556",TripAdvisor,-5556,False,33142
112,Mojito Grill,http://www.tripadvisor.in/Restaurant_Review-g34438-d4560022-Reviews-Mojito_Grill-Miami_Florida.html,,,"8888 SW 136th St, Miami, FL 33176",TripAdvisor,33176,True,33176
113,Voice of The People Ent,http://www.tripadvisor.in/Restaurant_Review-g34438-d4944877-Reviews-Voice_of_The_People_Ent-Miami_Florida.html,,,"795 NW 137th St, Miami, FL 33168-2926",TripAdvisor,-2926,False,33168
114,Tipicocentro Americano Cafe,http://www.tripadvisor.in/Restaurant_Review-g34438-d4192764-Reviews-Tipicocentro_Americano_Cafe-Miami_Florida.html,,,"1680 NW 36th St, Miami, FL 33142",TripAdvisor,33142,True,33142
115,"Il Mondo Della Pasta
- CLOSED",http://www.tripadvisor.in/Restaurant_Review-g34438-d936931-Reviews-Il_Mondo_Della_Pasta-Miami_Florida.html,,2.0,"1248 Coral Way, Miami, FL 33145",TripAdvisor,33145,True,33145
116,Falconi's Pizza,http://www.tripadvisor.in/Restaurant_Review-g34438-d5032312-Reviews-Falconi_s_Pizza-Miami_Florida.html,,,"15160 SW 136th St, Miami, FL 33196-2662",TripAdvisor,-2662,False,33196
117,La Casita,http://www.tripadvisor.in/Restaurant_Review-g34438-d4182004-Reviews-La_Casita-Miami_Florida.html,"544 of 3,600",2.0,"7931 NW 2nd St, Miami, FL 33126",TripAdvisor,33126,True,33126
118,Nissi Cafe',http://www.tripadvisor.in/Restaurant_Review-g34438-d5103956-Reviews-Nissi_Cafe-Miami_Florida.html,,,"2982 Coral Way, Miami, FL 33145",TripAdvisor,33145,True,33145
119,Papa John's,http://www.tripadvisor.in/Restaurant_Review-g34438-d4207576-Reviews-Papa_John_s-Miami_Florida.html,,,"3201 Grand Ave, Miami, FL 33133",TripAdvisor,33133,True,33133
